"X","person_id","country","modifier","predicate","response","rt","has.intensifier.","difference","Z.Score","std","interpretation_difference","scenario_type","scenario_country","experiment","narrator_interpretation","politeness_difference","scenario"
216,"5c5dbead25ba030001340166","UK","kind of","boring",89,17159,"yes",21,0.644502814331419,22.6422486140459,0.927469720784394,"dialogue","dialogue UK","Interpretation",-0.461115227485241,0.165042701013924,"kind of.boring"
218,"5c5dbead25ba030001340166","UK","quite","boring",79,12777,"yes",24,0.199566861290439,22.6422486140459,1.05996539518217,"dialogue","dialogue UK","Interpretation",-0.320037827657687,0.0728544958628986,"quite.boring"
222,"5c5dbead25ba030001340166","UK","extremely","boring",100,6824,"yes",40,1.1339323626765,22.6422486140459,1.76660899197028,"dialogue","dialogue UK","Interpretation",0.259362004037159,-0.253664954814715,"extremely.boring"
224,"5c5dbead25ba030001340166","UK","slightly","difficult",50,6748,"yes",-29,-1.0907474025284,22.6422486140459,-1.28079151917845,"dialogue","dialogue UK","Interpretation",-1.11043063041395,-0.0541095115076817,"slightly.difficult"
226,"5c5dbead25ba030001340166","UK","kind of","difficult",52,13835,"yes",-27,-1.00176021192021,22.6422486140459,-1.19246106957994,"dialogue","dialogue UK","Interpretation",-0.66331950674293,-0.0190496564670449,"kind of.difficult"
228,"5c5dbead25ba030001340166","UK","quite","difficult",69,6296,"yes",-10,-0.24536909175054,22.6422486140459,-0.441652247992569,"dialogue","dialogue UK","Interpretation",0.0651095129067597,-0.172559700071688,"quite.difficult"
230,"5c5dbead25ba030001340166","UK","very","difficult",89,7143,"yes",3,0.644502814331419,22.6422486140459,0.132495674397771,"dialogue","dialogue UK","Interpretation",0.407178310844801,0.153105808872414,"very.difficult"
232,"5c5dbead25ba030001340166","UK","extremely","difficult",100,12835,"yes",0,1.1339323626765,22.6422486140459,0,"dialogue","dialogue UK","Interpretation",0.178372621570954,0.154312168757275,"extremely.difficult"
234,"5c5dbead25ba030001340166","UK","slightly","concerned",53,10099,"yes",-24,-0.957266616616108,22.6422486140459,-1.05996539518217,"dialogue","dialogue UK","Interpretation",-0.789576338914733,-0.260449371135883,"slightly.concerned"
236,"5c5dbead25ba030001340166","UK","kind of","concerned",87,11499,"yes",-1,0.555515623723223,22.6422486140459,-0.0441652247992569,"dialogue","dialogue UK","Interpretation",-0.231159950163022,-0.130212109765489,"kind of.concerned"
238,"5c5dbead25ba030001340166","UK","quite","concerned",100,7105,"yes",0,1.1339323626765,22.6422486140459,0,"dialogue","dialogue UK","Interpretation",-0.0661516473662685,-0.0585304926043967,"quite.concerned"
240,"5c5dbead25ba030001340166","UK","very","concerned",100,11099,"yes",14,1.1339323626765,22.6422486140459,0.618313147189596,"dialogue","dialogue UK","Interpretation",0.375364220070372,-0.0510295066977746,"very.concerned"
242,"5c5dbead25ba030001340166","UK","extremely","concerned",100,9846,"yes",0,1.1339323626765,22.6422486140459,0,"dialogue","dialogue UK","Interpretation",0.771197094637613,-0.0247364241929674,"extremely.concerned"
244,"5c5dbead25ba030001340166","UK","slightly","understandable",50,7490,"yes",-5,-1.0907474025284,22.6422486140459,-0.220826123996284,"dialogue","dialogue UK","Interpretation",-1.19116283191497,-0.774513754631245,"slightly.understandable"
246,"5c5dbead25ba030001340166","UK","kind of","understandable",57,15286,"yes",-15,-0.779292235399716,22.6422486140459,-0.662478371988853,"dialogue","dialogue UK","Interpretation",-0.6429981855242,-0.307689222019862,"kind of.understandable"
